Регион,На 10 000 (2005),На 10 000 (2010),На 10 000 (2015),На 10 000 (2019),На 10 000 (2020),На 10 000 (2021)
Республика Алтай,38.9,43.5,44.7,44.8,45.6,43.6
Республика Тыва,42.8,45.6,48.9,49.7,50.6,50.2
Республика Хакасия,37.8,38.1,39,42.3,40.1,41.2
Алтайский край,46.7,48.7,42.9,42.6,43.4,43
Красноярский край,50.3,53.7,47.6,49.9,50.6,49.6
Иркутская область,47.5,49.9,45.5,49,49.2,49.6
Кемеровская область,47,47.7,42.9,43.8,44.2,43.4
Новосибирская область,61.7,58.3,51.6,54.6,56,56.7
Омская область,55.8,53.9,50.6,50.9,51.2,51.2
Томская область,67.3,59.1,53.5,56.4,53.1,59.3
